worker_id,floor,weeks,shortfalls_without,shortfalls_with,avg_buffer_balance,max_buffer_balance
1,4387.058041666667,156,22,12,1718.7322760989011,10811.539499999999
2,5359.931887820513,156,16,9,2008.7847746794869,11693.188
3,5814.294009615386,156,18,7,1436.1480147283276,8841.7735
4,5123.940250000001,156,16,12,1948.4669503205125,11920.32675
5,4080.8362692307696,156,13,8,1297.1821260989013,8589.395
6,3020.665576923078,156,22,13,1233.473526068376,6057.793749999999
7,4745.691570512819,156,16,12,1566.298051739927,10761.752250000001
8,5092.980750000001,156,16,14,1754.2141723290597,7924.192750000001
9,4421.782397435897,156,19,7,1361.7753602564103,9359.448
10,2420.6390576923077,156,22,13,700.6322738095238,4073.0204999999996
11,4090.8959455128206,156,12,8,1637.9952848748471,7961.9852500000015
12,4327.191669871795,156,18,13,1829.689313995727,11012.195749999999
13,2849.7760993589745,156,29,21,935.6355801282051,5118.388
14,3287.6873685897435,156,20,12,985.2442499542124,3629.491
15,4350.304432692307,156,16,8,1057.3875875305253,7132.353
16,2940.979038461539,156,23,14,1075.6491888736266,5880.939
17,5701.961727564102,156,14,7,1930.2851133394386,12224.561500000003
18,4358.060948717949,156,14,10,1704.61997275641,11377.994999999999
19,2951.8362500000003,156,26,21,956.7664647435897,4735.835499999999
20,4705.971064102564,156,9,6,1788.1662758699636,9437.033249999999
21,5208.181282051283,156,25,13,1716.9039711538464,9623.936
22,2585.275634615385,156,24,15,811.0390991300366,5048.5905
23,3562.282166666667,156,23,15,1349.5556447649574,8458.982500000002
24,2704.880080128205,156,25,16,1203.3399587912088,6643.4195
25,5369.176118589744,156,17,11,1749.7393103632478,9246.2375
26,4248.135128205129,156,14,9,1570.0478979700856,8015.783500000001
27,2516.8738621794873,156,20,12,872.2338717948718,5853.5595
28,3652.4786057692313,156,20,16,1344.1614540598296,6913.593000000001
29,5499.353397435897,156,13,8,1710.1932126831503,10602.258
30,2513.899842948718,156,22,17,921.4057691239318,5757.074500000001
31,5366.455064102566,156,15,10,1826.530975503663,9303.291
32,2318.366240384615,156,26,18,686.1213166971916,4220.0865
33,5401.483682692308,156,14,9,1592.3833581349209,7415.596500000001
34,2552.298903846154,156,20,17,1010.4450400641027,5355.94675
35,3997.1435801282055,156,18,12,1349.7473740842495,7549.349000000002
36,5033.966983974359,156,11,9,1700.4475125000001,10225.766249999999
37,3636.5147500000003,156,23,14,1175.9770627289377,5772.5914999999995
38,4136.373506410257,156,19,10,1391.1896717032967,7777.018500000001
39,2365.2466891025642,156,26,19,757.991014423077,3333.3715
40,2623.0748076923082,156,30,23,775.0275598290598,3958.5795
41,5292.552233974359,156,15,11,1883.3913477564104,9990.560500000001
42,2547.2410544871796,156,26,18,756.7958942307692,3852.5329999999994
43,5822.188660256411,156,17,12,1568.4447680555556,11633.92425
44,3624.6281570512824,156,18,10,1082.1728295940172,5734.6475
45,2547.473676282051,156,20,14,1011.7522754120879,5652.078750000001
46,2267.589076923077,156,24,17,972.3628419871792,5138.24025
47,6158.166243589744,156,12,5,1847.6165267094016,11271.3505
48,5212.83125,156,23,16,2433.9468060134304,12805.33125
49,3907.0974743589745,156,23,19,2033.916747481685,13088.5025
50,2529.173448717949,156,28,16,1048.0345934829058,7033.7387499999995
51,3401.9597756410258,156,24,16,994.1797291666666,5827.92
52,3383.4844999999996,156,25,16,1193.056435897436,5364.544500000002
53,5450.868570512821,156,23,14,1802.4209724969473,9038.307
54,2559.441782051282,156,23,13,745.3737729700854,4758.174249999998
55,4224.482766025642,156,15,10,1153.8057414529915,5866.9205
56,5761.265724358975,156,14,11,2079.269921626984,8775.200749999998
57,4972.901083333334,156,16,12,1559.6522088675213,8299.563
58,3069.002150641026,156,22,14,1045.6229723748472,5949.4130000000005
59,2277.353092948718,156,29,19,711.4933876831501,4794.105749999999
60,3163.3411121794875,156,28,20,1181.7477647435899,6841.974
61,5055.946852564102,156,9,7,1461.2339076923074,8645.760999999999
62,3135.9288301282054,156,33,24,1375.6081944444445,8045.689250000001
63,5094.161980769232,156,22,11,1638.4619795329672,13113.544
64,2652.09305448718,156,22,15,806.5640737179489,5150.24425
65,3713.9216442307693,156,22,13,1428.4008884157508,9082.414750000002
66,4956.824830128206,156,10,8,1760.2862889957264,12009.4
67,3808.9685897435897,156,21,12,1587.9298477564105,7621.07
68,5206.867064102565,156,22,12,1778.4462580128202,9059.632000000001
69,3210.096012820513,156,26,19,1297.0540383241757,6011.6465
70,2564.1153012820514,156,19,14,911.5299579212455,4891.950999999999
71,3545.5429519230775,156,14,7,875.608346153846,4103.112999999999
72,4689.296721153845,156,20,11,1480.1785357905983,9093.23275
73,4314.120426282051,156,12,5,1176.9575927197802,7568.496000000001
