worker_id,week_start,week_index,platform,archetype,hours_worked,trips_completed,gross_earnings,fuel_cost,net_earnings,is_shock_week
1,2024-01-01,0,Ola,multi_platform,31.7,51,5353.9,515.4,4838.5,False
1,2024-01-08,1,Ola,multi_platform,76.1,115,12867.48,1766.92,11100.55,False
1,2024-01-15,2,Ola,multi_platform,40.7,42,6880.99,946.72,5934.28,False
1,2024-01-22,3,Ola,multi_platform,54.4,96,9212.82,1301.94,7910.88,False
1,2024-01-29,4,Ola,multi_platform,51.0,52,8647.16,843.65,7803.5,False
1,2024-02-05,5,Ola,multi_platform,92.5,116,15686.16,1730.47,13955.68,False
1,2024-02-12,6,Ola,multi_platform,73.8,101,12491.63,1274.0,11217.63,False
1,2024-02-19,7,Ola,multi_platform,66.6,103,11307.87,1207.67,10100.21,False
1,2024-02-26,8,Ola,multi_platform,57.2,70,9725.49,1247.86,8477.63,False
1,2024-03-04,9,Ola,multi_platform,7.0,10,1303.19,160.37,1142.83,True
1,2024-03-11,10,Ola,multi_platform,41.1,44,6955.96,890.23,6065.72,False
1,2024-03-18,11,Ola,multi_platform,21.7,32,3683.62,446.3,3237.32,False
1,2024-03-25,12,Ola,multi_platform,67.6,91,11471.05,1158.41,10312.65,False
1,2024-04-01,13,Ola,multi_platform,29.3,30,4957.09,521.39,4435.7,False
1,2024-04-08,14,Ola,multi_platform,65.7,106,11095.51,1421.05,9674.46,False
1,2024-04-15,15,Ola,multi_platform,61.3,62,10389.28,975.22,9414.06,False
1,2024-04-22,16,Ola,multi_platform,61.9,86,10561.37,1022.64,9538.73,False
1,2024-04-29,17,Ola,multi_platform,65.2,80,11123.98,1388.81,9735.17,False
1,2024-05-06,18,Ola,multi_platform,26.1,46,4416.79,628.55,3788.24,False
1,2024-05-13,19,Ola,multi_platform,45.9,74,7837.35,1017.11,6820.24,False
1,2024-05-20,20,Ola,multi_platform,49.1,84,8327.87,959.83,7368.04,False
1,2024-05-27,21,Ola,multi_platform,60.9,69,10262.05,1435.63,8826.42,False
1,2024-06-03,22,Ola,multi_platform,36.6,54,6276.45,763.14,5513.31,False
1,2024-06-10,23,Ola,multi_platform,28.8,29,4929.79,575.19,4354.6,False
1,2024-06-17,24,Ola,multi_platform,50.6,74,8550.12,844.67,7705.45,False
1,2024-06-24,25,Ola,multi_platform,38.8,57,6704.62,591.07,6113.54,False
1,2024-07-01,26,Ola,multi_platform,29.0,30,5014.51,575.55,4438.96,False
1,2024-07-08,27,Ola,multi_platform,51.5,70,8757.58,909.4,7848.18,False
1,2024-07-15,28,Ola,multi_platform,38.4,39,6496.11,893.6,5602.51,False
1,2024-07-22,29,Ola,multi_platform,42.5,46,7348.62,922.15,6426.47,False
1,2024-07-29,30,Ola,multi_platform,49.4,79,8329.63,793.63,7536.01,False
1,2024-08-05,31,Ola,multi_platform,26.3,37,4564.93,492.17,4072.76,False
1,2024-08-12,32,Ola,multi_platform,58.1,102,10057.83,1041.2,9016.63,False
1,2024-08-19,33,Ola,multi_platform,44.3,50,7558.02,684.49,6873.54,False
1,2024-08-26,34,Ola,multi_platform,24.8,39,4222.57,593.95,3628.62,False
1,2024-09-02,35,Ola,multi_platform,49.4,79,8598.56,1068.8,7529.76,False
1,2024-09-09,36,Ola,multi_platform,51.7,62,8760.71,1259.64,7501.07,False
1,2024-09-16,37,Ola,multi_platform,70.9,79,11934.97,1190.92,10744.06,False
1,2024-09-23,38,Ola,multi_platform,27.5,44,4724.17,680.53,4043.64,False
1,2024-09-30,39,Ola,multi_platform,1.4,2,249.21,22.61,226.6,True
1,2024-10-07,40,Ola,multi_platform,44.7,51,7639.99,1030.57,6609.41,False
1,2024-10-14,41,Ola,multi_platform,34.0,37,5879.58,825.29,5054.29,False
1,2024-10-21,42,Ola,multi_platform,56.2,85,9537.96,1379.51,8158.45,False
1,2024-10-28,43,Ola,multi_platform,48.0,69,8094.11,1024.28,7069.84,False
1,2024-11-04,44,Ola,multi_platform,65.5,116,10911.85,1372.16,9539.68,False
1,2024-11-11,45,Ola,multi_platform,57.1,92,10028.0,866.26,9161.74,False
1,2024-11-18,46,Ola,multi_platform,47.3,56,7874.34,959.79,6914.55,False
1,2024-11-25,47,Ola,multi_platform,51.7,69,8904.74,1112.47,7792.27,False
1,2024-12-02,48,Ola,multi_platform,28.3,33,4963.25,635.63,4327.62,False
1,2024-12-09,49,Ola,multi_platform,117.3,173,20517.47,1931.12,18586.35,False
1,2024-12-16,50,Ola,multi_platform,38.1,66,6667.76,634.17,6033.59,False
1,2024-12-23,51,Ola,multi_platform,55.4,56,9343.15,862.35,8480.8,False
1,2024-12-30,52,Ola,multi_platform,46.9,72,7831.07,887.38,6943.69,False
1,2025-01-06,53,Ola,multi_platform,59.2,99,10008.71,914.49,9094.22,False
1,2025-01-13,54,Ola,multi_platform,115.5,168,19295.72,2212.46,17083.26,False
1,2025-01-20,55,Ola,multi_platform,35.5,36,5871.92,861.3,5010.62,False
1,2025-01-27,56,Ola,multi_platform,77.0,137,12784.2,1773.67,11010.54,False
1,2025-02-03,57,Ola,multi_platform,53.9,59,9441.4,1096.42,8344.98,False
1,2025-02-10,58,Ola,multi_platform,80.1,104,13754.07,1714.06,12040.0,False
1,2025-02-17,59,Ola,multi_platform,46.0,61,7734.74,796.91,6937.83,False
1,2025-02-24,60,Ola,multi_platform,68.9,89,11681.45,1505.24,10176.2,False
1,2025-03-03,61,Ola,multi_platform,76.9,106,12970.66,1406.74,11563.92,False
1,2025-03-10,62,Ola,multi_platform,85.2,139,14662.09,1730.97,12931.13,False
